Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=sigmoid, C=100.0",Hepatitis/0,0.8571428571428571,0.0010006427764892578,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0",Hepatitis/1,0.6666666666666666,0.0,0.8
"SVM, kernel=sigmoid, C=100.0",Hepatitis/2,0.7857142857142857,0.0010051727294921875,0.8695652173913043
"SVM, kernel=sigmoid, C=100.0",Hepatitis/3,0.8823529411764706,0.0009999275207519531,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0",Hepatitis/4,1.0,0.0,1.0
"SVM, kernel=sigmoid, C=100.0",Hepatitis/5,0.8235294117647058,0.000507354736328125,0.8888888888888888
"SVM, kernel=sigmoid, C=100.0",Hepatitis/6,1.0,0.0,1.0
"SVM, kernel=sigmoid, C=100.0",Hepatitis/7,0.8666666666666667,0.0009996891021728516,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0",Hepatitis/8,0.8125,0.0010023117065429688,0.8888888888888888
"SVM, kernel=sigmoid, C=100.0",Hepatitis/9,0.8125,0.0,0.88
"SVM, kernel=poly, C=10.0",Hepatitis/0,0.8571428571428571,0.0009996891021728516,0.9090909090909091
"SVM, kernel=poly, C=10.0",Hepatitis/1,0.8666666666666667,0.0015091896057128906,0.9090909090909091
"SVM, kernel=poly, C=10.0",Hepatitis/2,0.7142857142857143,0.0009999275207519531,0.8333333333333334
"SVM, kernel=poly, C=10.0",Hepatitis/3,0.7058823529411765,0.0,0.8148148148148148
"SVM, kernel=poly, C=10.0",Hepatitis/4,1.0,0.0009999275207519531,1.0
"SVM, kernel=poly, C=10.0",Hepatitis/5,0.8235294117647058,0.0,0.896551724137931
"SVM, kernel=poly, C=10.0",Hepatitis/6,0.9333333333333333,0.0010077953338623047,0.9565217391304348
"SVM, kernel=poly, C=10.0",Hepatitis/7,0.8666666666666667,0.0009906291961669922,0.9230769230769231
"SVM, kernel=poly, C=10.0",Hepatitis/8,0.8125,0.0009996891021728516,0.88
"SVM, kernel=poly, C=10.0",Hepatitis/9,0.875,0.0,0.9285714285714286
"SVM, kernel=sigmoid, C=10.0",Hepatitis/0,0.8571428571428571,0.0,0.9090909090909091
"SVM, kernel=sigmoid, C=10.0",Hepatitis/1,0.8666666666666667,0.0010037422180175781,0.9090909090909091
"SVM, kernel=sigmoid, C=10.0",Hepatitis/2,0.7142857142857143,0.0,0.8333333333333334
"SVM, kernel=sigmoid, C=10.0",Hepatitis/3,0.7647058823529411,0.0010013580322265625,0.8461538461538461
"SVM, kernel=sigmoid, C=10.0",Hepatitis/4,1.0,0.0,1.0
"SVM, kernel=sigmoid, C=10.0",Hepatitis/5,0.6470588235294118,0.0,0.7857142857142857
"SVM, kernel=sigmoid, C=10.0",Hepatitis/6,0.9333333333333333,0.000997304916381836,0.9565217391304348
"SVM, kernel=sigmoid, C=10.0",Hepatitis/7,0.8666666666666667,0.0019991397857666016,0.9230769230769231
"SVM, kernel=sigmoid, C=10.0",Hepatitis/8,0.8125,0.0,0.88
"SVM, kernel=sigmoid, C=10.0",Hepatitis/9,0.9375,0.0,0.9629629629629629
"SVM, kernel=linear, C=1.0",Hepatitis/0,0.8571428571428571,0.0009491443634033203,0.9090909090909091
"SVM, kernel=linear, C=1.0",Hepatitis/1,0.8,0.0010030269622802734,0.8695652173913043
"SVM, kernel=linear, C=1.0",Hepatitis/2,0.7142857142857143,0.0010285377502441406,0.8333333333333334
"SVM, kernel=linear, C=1.0",Hepatitis/3,0.8235294117647058,0.0013210773468017578,0.88
"SVM, kernel=linear, C=1.0",Hepatitis/4,1.0,0.0020689964294433594,1.0
"SVM, kernel=linear, C=1.0",Hepatitis/5,0.6470588235294118,0.001026153564453125,0.7857142857142857
"SVM, kernel=linear, C=1.0",Hepatitis/6,0.9333333333333333,0.002003908157348633,0.9565217391304348
"SVM, kernel=linear, C=1.0",Hepatitis/7,0.8,0.0009996891021728516,0.88
"SVM, kernel=linear, C=1.0",Hepatitis/8,0.75,0.0,0.8461538461538461
"SVM, kernel=linear, C=1.0",Hepatitis/9,0.9375,0.0010104179382324219,0.9629629629629629
"SVM, kernel=rbf, C=10.0",Hepatitis/0,0.8571428571428571,0.0009996891021728516,0.9090909090909091
"SVM, kernel=rbf, C=10.0",Hepatitis/1,0.8,0.0,0.8695652173913043
"SVM, kernel=rbf, C=10.0",Hepatitis/2,0.7142857142857143,0.0010035037994384766,0.8333333333333334
"SVM, kernel=rbf, C=10.0",Hepatitis/3,0.7647058823529411,0.0009400844573974609,0.8461538461538461
"SVM, kernel=rbf, C=10.0",Hepatitis/4,1.0,0.0010063648223876953,1.0
"SVM, kernel=rbf, C=10.0",Hepatitis/5,0.7058823529411765,0.0009975433349609375,0.8148148148148148
"SVM, kernel=rbf, C=10.0",Hepatitis/6,0.9333333333333333,0.0010459423065185547,0.9565217391304348
"SVM, kernel=rbf, C=10.0",Hepatitis/7,0.8,0.0020017623901367188,0.88
"SVM, kernel=rbf, C=10.0",Hepatitis/8,0.8125,0.001996755599975586,0.88
"SVM, kernel=rbf, C=10.0",Hepatitis/9,0.875,0.001005411148071289,0.9285714285714286
