Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=sigmoid, C=100.0",Hepatitis/0,0.8571428571428571,0.0010027885437011719,0.9090909090909091
"SVM, kernel=sigmoid, C=100.0",Hepatitis/1,0.6666666666666666,0.0011873245239257812,0.8
"SVM, kernel=sigmoid, C=100.0",Hepatitis/2,0.7857142857142857,0.0,0.8695652173913043
"SVM, kernel=sigmoid, C=100.0",Hepatitis/3,0.8823529411764706,0.0005297660827636719,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0",Hepatitis/4,1.0,0.0012731552124023438,1.0
"SVM, kernel=sigmoid, C=100.0",Hepatitis/5,0.8235294117647058,0.0,0.8888888888888888
"SVM, kernel=sigmoid, C=100.0",Hepatitis/6,1.0,0.0,1.0
"SVM, kernel=sigmoid, C=100.0",Hepatitis/7,0.8666666666666667,0.00141143798828125,0.9230769230769231
"SVM, kernel=sigmoid, C=100.0",Hepatitis/8,0.8125,0.001851797103881836,0.8888888888888888
"SVM, kernel=sigmoid, C=100.0",Hepatitis/9,0.8125,0.001003265380859375,0.88
"SVM, kernel=poly, C=10.0",Hepatitis/0,0.8571428571428571,0.0005080699920654297,0.9090909090909091
"SVM, kernel=poly, C=10.0",Hepatitis/1,0.8666666666666667,0.001003265380859375,0.9090909090909091
"SVM, kernel=poly, C=10.0",Hepatitis/2,0.7142857142857143,0.0,0.8333333333333334
"SVM, kernel=poly, C=10.0",Hepatitis/3,0.7058823529411765,0.0,0.8148148148148148
"SVM, kernel=poly, C=10.0",Hepatitis/4,1.0,0.0,1.0
"SVM, kernel=poly, C=10.0",Hepatitis/5,0.8235294117647058,0.0014276504516601562,0.896551724137931
"SVM, kernel=poly, C=10.0",Hepatitis/6,0.9333333333333333,0.0005249977111816406,0.9565217391304348
"SVM, kernel=poly, C=10.0",Hepatitis/7,0.8666666666666667,0.0013489723205566406,0.9230769230769231
"SVM, kernel=poly, C=10.0",Hepatitis/8,0.8125,0.0010042190551757812,0.88
"SVM, kernel=poly, C=10.0",Hepatitis/9,0.875,0.0009999275207519531,0.9285714285714286
"SVM, kernel=sigmoid, C=10.0",Hepatitis/0,0.8571428571428571,0.0005147457122802734,0.9090909090909091
"SVM, kernel=sigmoid, C=10.0",Hepatitis/1,0.8666666666666667,0.0,0.9090909090909091
"SVM, kernel=sigmoid, C=10.0",Hepatitis/2,0.7142857142857143,0.0010209083557128906,0.8333333333333334
"SVM, kernel=sigmoid, C=10.0",Hepatitis/3,0.7647058823529411,0.0011594295501708984,0.8461538461538461
"SVM, kernel=sigmoid, C=10.0",Hepatitis/4,1.0,0.0005140304565429688,1.0
"SVM, kernel=sigmoid, C=10.0",Hepatitis/5,0.6470588235294118,0.0010004043579101562,0.7857142857142857
"SVM, kernel=sigmoid, C=10.0",Hepatitis/6,0.9333333333333333,0.0013051033020019531,0.9565217391304348
"SVM, kernel=sigmoid, C=10.0",Hepatitis/7,0.8666666666666667,0.0014309883117675781,0.9230769230769231
"SVM, kernel=sigmoid, C=10.0",Hepatitis/8,0.8125,0.0,0.88
"SVM, kernel=sigmoid, C=10.0",Hepatitis/9,0.9375,0.0010030269622802734,0.9629629629629629
"SVM, kernel=linear, C=1.0",Hepatitis/0,0.8571428571428571,0.0009853839874267578,0.9090909090909091
"SVM, kernel=linear, C=1.0",Hepatitis/1,0.8,0.0010056495666503906,0.8695652173913043
"SVM, kernel=linear, C=1.0",Hepatitis/2,0.7142857142857143,0.0013756752014160156,0.8333333333333334
"SVM, kernel=linear, C=1.0",Hepatitis/3,0.8235294117647058,0.0,0.88
"SVM, kernel=linear, C=1.0",Hepatitis/4,1.0,0.001739501953125,1.0
"SVM, kernel=linear, C=1.0",Hepatitis/5,0.6470588235294118,0.0,0.7857142857142857
"SVM, kernel=linear, C=1.0",Hepatitis/6,0.9333333333333333,0.0005128383636474609,0.9565217391304348
"SVM, kernel=linear, C=1.0",Hepatitis/7,0.8,0.0010051727294921875,0.88
"SVM, kernel=linear, C=1.0",Hepatitis/8,0.75,0.0,0.8461538461538461
"SVM, kernel=linear, C=1.0",Hepatitis/9,0.9375,0.0010440349578857422,0.9629629629629629
"SVM, kernel=rbf, C=10.0",Hepatitis/0,0.8571428571428571,0.0010075569152832031,0.9090909090909091
"SVM, kernel=rbf, C=10.0",Hepatitis/1,0.8,0.0009999275207519531,0.8695652173913043
"SVM, kernel=rbf, C=10.0",Hepatitis/2,0.7142857142857143,0.0009958744049072266,0.8333333333333334
"SVM, kernel=rbf, C=10.0",Hepatitis/3,0.7647058823529411,0.0010027885437011719,0.8461538461538461
"SVM, kernel=rbf, C=10.0",Hepatitis/4,1.0,0.001010894775390625,1.0
"SVM, kernel=rbf, C=10.0",Hepatitis/5,0.7058823529411765,0.0,0.8148148148148148
"SVM, kernel=rbf, C=10.0",Hepatitis/6,0.9333333333333333,0.0005328655242919922,0.9565217391304348
"SVM, kernel=rbf, C=10.0",Hepatitis/7,0.8,0.0010039806365966797,0.88
"SVM, kernel=rbf, C=10.0",Hepatitis/8,0.8125,0.0,0.88
"SVM, kernel=rbf, C=10.0",Hepatitis/9,0.875,0.002147674560546875,0.9285714285714286
