Model,Dataset/Fold,Accuracy,Time,F1
"SVM, kernel=linear, C=1.0, NONE",Mushroom/0,1.0,0.0028641223907470703,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/1,1.0,0.003070831298828125,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/2,1.0,0.0033550262451171875,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/3,1.0,0.0027179718017578125,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/4,1.0,0.0026984214782714844,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/5,1.0,0.0030426979064941406,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/6,1.0,0.0026938915252685547,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/7,1.0,0.0036041736602783203,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/8,1.0,0.0030241012573242188,1.0
"SVM, kernel=linear, C=1.0, NONE",Mushroom/9,1.0,0.002943277359008789,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/0,0.9975339087546239,0.0019998550415039062,0.9974358974358974
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/1,1.0,0.0015978813171386719,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/2,1.0,0.0020003318786621094,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/3,0.9975369458128078,0.0019996166229248047,0.9974424552429667
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/4,0.9963054187192119,0.002000570297241211,0.9961489088575096
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/5,0.9975339087546239,0.0020003318786621094,0.9974358974358974
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/6,1.0,0.002000570297241211,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/7,1.0,0.0029997825622558594,1.0
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/8,0.9975429975429976,0.0019876956939697266,0.9974489795918368
"SVM, kernel=linear, C=1.0, EENTH",Mushroom/9,0.9987684729064039,0.0030057430267333984,0.998719590268886
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/0,0.9864364981504316,0.0009779930114746094,0.9857328145265889
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/1,0.9839901477832512,0.0020012855529785156,0.9833971902937421
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/2,0.9717444717444718,0.0010192394256591797,0.9703989703989704
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/3,0.9273399014778325,0.0010004043579101562,0.9186206896551724
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/4,0.9815270935960592,0.0010035037994384766,0.9809402795425667
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/5,0.9753390875462392,0.0010001659393310547,0.9744897959183674
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/6,0.9815724815724816,0.0009996891021728516,0.9810366624525917
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/7,0.9839901477832512,0.00099945068359375,0.9833971902937421
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/8,0.9680589680589681,0.0010001659393310547,0.9669211195928753
"SVM, kernel=linear, C=1.0, GCNN",Mushroom/9,0.9766009852216748,0.0009999275207519531,0.9755469755469756
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/0,0.9864364981504316,0.0009999275207519531,0.9857328145265889
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/1,0.9901477832512315,0.002962350845336914,0.9896907216494846
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/2,0.9803439803439803,0.0011343955993652344,0.9791666666666666
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/3,0.9815270935960592,0.00154876708984375,0.9804941482444733
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/4,0.9889162561576355,0.0010001659393310547,0.9883570504527813
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/5,0.9827373612823674,0.0017268657684326172,0.9817708333333334
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/6,0.9914004914004914,0.0009975433349609375,0.9909677419354839
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/7,0.9876847290640394,0.0010101795196533203,0.9870801033591732
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/8,0.9815724815724816,0.0010035037994384766,0.980544747081712
"SVM, kernel=linear, C=1.0, DROP3",Mushroom/9,0.9815270935960592,0.0010383129119873047,0.9804432855280313
